BodySection,OrganSystem,StandardStructureName,Structure,StructureName,Fast,Fastest
Thoracic,Skeletal,VB_L3_TS,vertebrae_L3,L3 vertebra,false,false
Thoracic,Skeletal,VB_L4_TS,vertebrae_L4,L4 vertebra,false,false
Thoracic,Skeletal,VB_L5_TS,vertebrae_L5,L5 vertebra,false,false
Thoracic,Skeletal,VB_S1_TS,vertebrae_S1,S1 vertebra,false,false
Thoracic,Skeletal,VB_T1_TS,vertebrae_T1,T1 vertebra,false,false
Thoracic,Skeletal,VB_T10_TS,vertebrae_T10,T10 vertebra,false,false
Thoracic,Skeletal,VB_T11_TS,vertebrae_T11,T11 vertebra,false,false
Thoracic,Skeletal,VB_T12_TS,vertebrae_T12,T12 vertebra,false,false
Thoracic,Skeletal,VB_T2_TS,vertebrae_T2,T2 vertebra,false,false
Thoracic,Skeletal,VB_T3_TS,vertebrae_T3,T3 vertebra,false,false
Thoracic,Skeletal,VB_T4_TS,vertebrae_T4,T4 vertebra,false,false
Thoracic,Skeletal,VB_T5_TS,vertebrae_T5,T5 vertebra,false,false
Thoracic,Skeletal,VB_T6_TS,vertebrae_T6,T6 vertebra,false,false
Thoracic,Skeletal,VB_T7_TS,vertebrae_T7,T7 vertebra,false,false
Thoracic,Skeletal,VB_T8_TS,vertebrae_T8,T8 vertebra,false,false
Thoracic,Skeletal,VB_T9_TS,vertebrae_T9,T9 vertebra,false,false
Thoracic,Skeletal,VertebraThoracic_TS,vertebrae_thoracic,Vertebra,false,false
Trunk,Disease,KidneyCyst_L_TS,kidney_cyst_left,Cyst,false,false
Trunk,Disease,KidneyCyst_R_TS,kidney_cyst_right,Cyst,false,false
Trunk,Genitourinary,Kidney_L_TS,kidney_left,Kidney,false,false
Trunk,Genitourinary,Kidney_R_TS,kidney_right,Kidney,false,false
Trunk,Genitourinary,Kidney_TS,kidney,Kidney,false,false
Trunk,GlandularEndocrine,AdrenalGland_L_TS,adrenal_gland_left,Adrenal gland,false,false
Trunk,GlandularEndocrine,AdrenalGland_R_TS,adrenal_gland_right,Adrenal gland,false,false
Trunk,GlandularEndocrine,AdrenalGland_TS,adrenal_gland,Adrenal gland,false,false
Trunk,Muscular,ErectorSpinaeMuscles_L_TS,autochthon_left,Deep muscle of back,false,false
Trunk,Muscular,ErectorSpinaeMuscles_R_TS,autochthon_right,Deep muscle of back,false,false
Trunk,Muscular,ErectorSpinaeMuscles_TS,autochthon,Deep muscle of back,false,false
Trunk,Nervous,SpinalCord_TS,spinal_cord,Spinal cord,false,false
Trunk,Skeletal,VertebraLumbar_TS,vertebrae_lumbar,Vertebra,false,false
UpperAbdomen,GI,Colon_TS,colon,Colon,false,false
UpperAbdomen,GI,Duodenum_TS,duodenum,Duodenum,false,false
UpperAbdomen,Gi,GallBladder_TS,gallbladder,Gallbladder,false,false
UpperAbdomen,GI,GTVliver_TS,liver_tumor,Neoplasm,false,false
UpperAbdomen,Gi,Liver_TS,liver,Liver,false,false
UpperAbdomen,GI,Oesophagus_TS,esophagus,Esophagus,false,false
UpperAbdomen,Gi,Pancreas_TS,pancreas,Pancreas,false,false
UpperAbdomen,GI,SmallBowel_TS,small_bowel,Small Intestine,false,false
UpperAbdomen,GI,Spleen_TS,spleen,Spleen,false,false
UpperAbdomen,GI,Stomach_TS,stomach,Stomach,false,false
UpperAbdomen,Vascular,A_Aorta_TS,aorta,Aorta,false,false
UpperAbdomen,Vascular,LiverVessels_TS,liver_vessels,Blood vessel,false,false
UpperAbdomen,Vascular,V_InferiorVenaCava_TS,inferior_vena_cava,Inferior vena cava,false,false
UpperAbdomen,Vascular,V_Portal_TS,portal_vein_and_splenic_vein,Portal vein and splenic vein,false,false
